"Rest ID","Venue","Region","Suburb","Postcode","Start Balance","Change","Current (11/04/26)","Portfolio Start Date","AM Name"
"D5B60F21-5D4C-4349-8082-0E5328042FC2","West Side Wine","Melbourne","Melbourne City","3008","162.5","0.00","162.5","1/04/26","Elliot Rayment"
"0C68C3AA-6D1F-4AF9-9B98-54333FFC73F1","Smokin Burgers n' Ribs - Griffin","Brisbane","Griffin","4503","162.5","0.00","162.5","1/04/26","Mark Savaille"
"5993BC39-2E12-4C53-90DC-22AB02396486","Punjabi Sunrise","Brisbane","Alexandra Hills","4161","162","0.00","162","1/04/26","Jessie Helyar"
"7E07A2B2-6252-4BCF-81A8-CFD8382665B5","Lakeside Cafe","Adelaide","North Adelaide","5086","161.875","0.00","161.875","1/04/26","Gabriella Szabo"
"9E32CF89-EA60-4151-98A7-7457EDCCC4F4","Knot Just Pasta - Campbell","Canberra","North Canberra","2612","161.875","0.00","161.875","1/04/26","Lukas Symonds"
"0DCACA80-B7BA-47F7-895C-95DB4E3294CC","Shark Island Brewing","Sydney","Cronulla","2232","161.25","0.00","161.25","1/04/26","Josephine Fatorma"
"A49AADE8-9968-44AC-B0B1-04C7A62268ED","The Rice Place","Brisbane","Brisbane City","4006","161.25","0.00","161.25","1/04/26","Matthew Behan"
"E581C0BE-9D9A-4DEB-827C-0F1EA072B37F","Burger Villains - Tuggeranong","Canberra","Tuggeranong","2900","161.25","0.00","161.25","1/04/26","Lukas Symonds"
"5825BB51-69E0-49A8-B5C4-09B606BD793C","Wingboy Newtown","Sydney","Inner West","2042","161.25","0.00","161.25","1/04/26","Nader Masrour"
"A309A50C-1799-4CAA-BC62-66CDC02E4021","Aashiana Indian Restaurant - Balwyn","Melbourne","Doncaster","3103","158.5","0.00","158.5","1/04/26","Nicole Orr"
"EDC6586E-5856-4680-BB92-1EDE861E2DEC","Miss Manhattan","Brisbane","Brisbane City","4006","157.5","0.00","157.5","1/04/26","Matthew Behan"
"A7595279-F962-49E5-BEA4-CB66AC4F4749","Phat Brew Club","Perth","Perth City","6005","157.5","0.00","157.5","1/04/26","Libby Egan"
"582C813A-5690-4CED-8BD4-1CF9630AE8A5","Moon Dog Beach Club - Frankston","Melbourne","Frankston","3199","157.375","0.00","157.375","1/04/26","Tom Mcgay"
"ACBC7E0E-FCAF-4EEA-99DE-54CE3E4FFC3F","Magic Momo Kafe On Flinders","Melbourne","Melbourne City","3000","157","0.00","157","1/04/26","Orel Cohen Berenson"
"5C339862-6CB4-4A86-9823-FAE479BC1F93","Palette. & Palette.atnight","Melbourne","Essendon","3051","156.875","0.00","156.875","1/04/26","Tom Mcgay"
"683FEB8E-6959-4609-B22B-D34CCBDF9D72","Frankies Pizza - Unley","Adelaide","Greater Adelaide","5061","156.75","0.00","156.75","1/04/26","Gabriella Szabo"
"CBE6A4B6-EF50-41DE-A328-61FCC45CD5C9","WaFire Grill","Sydney","North Sydney","2089","156.25","0.00","156.25","1/04/26","Jasmine Jung"
"3C5D182D-DAD1-4183-B3F8-BD2BFD39CE27","Babli's Modern Indian - Newtown","Sydney","Inner West","2042","155.625","0.00","155.625","1/04/26","Sam Pundol"
"D37598EB-571B-4671-BBBF-76C70D8022DA","Chalisa Indian Restaurant","Canberra","Tuggeranong","2900","155.625","0.00","155.625","1/04/26","Lukas Symonds"
"00EE451C-7BD7-4FB4-9161-1844AC55AF69","Tradies Cafe & Bar","Canberra","Fyshwick","2609","457.5","-302.50","155","1/04/26","Lukas Symonds"
"5B9E1B4C-79CC-40F0-A344-DB861E57DDF9","Sedap Place","Perth","East Victoria Park","6101","155","0.00","155","1/04/26","Jai Richards"
